"id";"area";"country";"year";"month";"day";"depth";"x";"y";"duration";"swept";"category";"n";"kg"
"18ALB2018_MIZ824_31";18;"ALB";2018;8;24;297;19.1345;40.4845;1;0.1088976;"ADV";0;0
"18ALB2018_MIZ825_10";18;"ALB";2018;8;25;88.5;19.2040833333333;40.954;0.5;0.0497262;"ADV";0;0
"18ALB2018_MIZ825_2";18;"ALB";2018;8;25;15;19.4139166666667;41.10775;0.5;0.0461148;"ADV";1;0.02
"18ALB2018_MIZ825_41";18;"ALB";2018;8;25;78.5;19.2625;41.0875;0.5;0.0497262;"ADV";0;0
"18ALB2018_MIZ825_8";18;"ALB";2018;8;25;61;19.3541666666667;41.1954166666667;0.5;0.049404;"ADV";3;0.1
"18ALB2019_MIZ71_14";18;"ALB";2019;7;1;115.5;19.1053333333333;41.4099166666667;0.5;0.047619;"ADV";2;0.04
"18ALB2019_MIZ71_165";18;"ALB";2019;7;1;126;18.9409166666667;41.119;0.5;0.0537795;"ADV";0;0
"18ALB2019_MIZ71_166";18;"ALB";2019;7;1;114;18.9735833333333;41.3205;0.5;0.0524105;"ADV";0;0
"18ALB2019_MIZ71_168";18;"ALB";2019;7;1;391.5;18.76025;41.45975;1;0.1040077;"ADV";1;0.01
"18ALB2019_MIZ71_170";18;"ALB";2019;7;1;620.5;18.7454166666667;41.0965833333333;1;0.1004535;"ADV";0;0
"18ALB2019_MIZ71_26";18;"ALB";2019;7;1;295;18.8616666666667;41.113;1;0.1108013;"ADV";3;0.42
"18ALB2019_MIZ73_167";18;"ALB";2019;7;3;340;18.8838333333333;40.8854166666667;1;0.1079449;"ADV";0;0
"18ALB2019_MIZ73_27";18;"ALB";2019;7;3;327.5;18.9993333333333;40.72875;1;0.1047218;"ADV";5;0.19
"18ALB2019_MIZ73_32";18;"ALB";2019;7;3;569;18.7786666666667;40.97825;1;0.1015119;"ADV";4;0.04
"18ALB2019_MIZ73_33";18;"ALB";2019;7;3;568.5;18.8199166666667;40.9005833333333;1;0.1015119;"ADV";5;0.15
"18ALB2019_MIZ73_38";18;"ALB";2019;7;3;583.5;18.902;40.78825;1;0.1029105;"ADV";4;0.07
"18ALB2019_MIZ73_39";18;"ALB";2019;7;3;562.5;18.9916666666667;40.6819166666667;1;0.0965979;"ADV";2;0.15
"18ALB2019_MIZ730_10";18;"ALB";2019;7;30;89;19.2038333333333;40.9405833333333;0.5;0.0491706;"ADV";2;0.05
"18ALB2019_MIZ730_16";18;"ALB";2019;7;30;103;19.1614166666667;40.8419166666667;0.5;0.051393;"ADV";18;2.92
"18ALB2019_MIZ730_17";18;"ALB";2019;7;30;113;19.15575;40.7024166666667;0.5;0.051393;"ADV";1;0.13
"18ALB2019_MIZ730_2";18;"ALB";2019;7;30;14.5;19.41375;41.1044166666667;0.5;0.045837;"ADV";0;0
"18ALB2019_MIZ730_22";18;"ALB";2019;7;30;167.5;19.1523333333333;40.61525;0.5;0.051393;"ADV";4;0.5
"18ALB2019_MIZ730_41";18;"ALB";2019;7;30;78.5;19.2624166666667;41.0795833333333;0.5;0.0491706;"ADV";3;0.6
"18ALB2019_MIZ730_8";18;"ALB";2019;7;30;61.5;19.3523333333333;41.19175;0.5;0.0491706;"ADV";4;0.1
"18ALB2019_MIZ731_163";18;"ALB";2019;7;31;70;19.2554166666667;40.761;0.5;0.048852;"ADV";1;0.05
"18ALB2019_MIZ731_169";18;"ALB";2019;7;31;530.5;19.0804166666667;40.46675;1;0.0983556;"ADV";1;0.05
"18ALB2019_MIZ731_23";18;"ALB";2019;7;31;162.5;19.2078333333333;40.47525;0.5;0.050024;"ADV";2;0.05
"18ALB2019_MIZ731_31";18;"ALB";2019;7;31;297;19.1348333333333;40.4843333333333;1;0.1029462;"ADV";2;0.08
"18ALB2019_MIZ81_1";18;"ALB";2019;8;1;28;19.39825;41.5578333333333;0.5;0.045837;"ADV";4;0.14
"18ALB2019_MIZ81_13";18;"ALB";2019;8;1;88;19.25475;41.3074166666667;0.5;0.0485157;"ADV";0;0
"18ALB2019_MIZ81_4";18;"ALB";2019;8;1;77;19.27825;41.5401666666667;0.5;0.0491706;"ADV";3;0.03
"18ALB2019_MIZ81_6";18;"ALB";2019;8;1;94;19.2675;41.4023333333333;0.5;0.0491706;"ADV";2;0.06
"18ALB2020_MIZ114_14";18;"ALB";2020;11;4;113.5;19.1054166666667;41.4048333333333;0.5;0.049444;"ADV";0;0
"18ALB2020_MIZ114_165";18;"ALB";2020;11;4;125.5;18.9438333333333;41.1123333333333;0.5;0.0536176;"ADV";0;0
"18ALB2020_MIZ114_166";18;"ALB";2020;11;4;115.5;18.9711666666667;41.3171666666667;0.5;0.0515308;"ADV";4;0.38
"18ALB2020_MIZ114_168";18;"ALB";2020;11;4;389.5;18.7613333333333;41.46325;1;0.1039766;"ADV";2;0.1
"18ALB2020_MIZ114_170";18;"ALB";2020;11;4;600;18.7475833333333;41.0755;1;0.0961526;"ADV";0;0
"18ALB2020_MIZ114_26";18;"ALB";2020;11;4;297;18.8618333333333;41.1118333333333;1;0.1072665;"ADV";1;0.02
"18ALB2020_MIZ115_167";18;"ALB";2020;11;5;345.5;18.8776666666667;40.8930833333333;1;0.1054344;"ADV";2;0.07
"18ALB2020_MIZ115_27";18;"ALB";2020;11;5;325;19.00925;40.7189166666667;1;0.1054344;"ADV";4;0.22
"18ALB2020_MIZ115_32";18;"ALB";2020;11;5;580.5;18.78175;40.965;1;0.0986616;"ADV";1;0.05
"18ALB2020_MIZ115_33";18;"ALB";2020;11;5;551;18.8376666666667;40.8771666666667;1;0.1022321;"ADV";1;0.02
"18ALB2020_MIZ115_38";18;"ALB";2020;11;5;576.5;18.9215833333333;40.7659166666667;1;0.1004372;"ADV";0;0
"18ALB2020_MIZ115_39";18;"ALB";2020;11;5;553;19.0021666666667;40.6568333333333;1;0.1004372;"ADV";1;0.2
"18ALB2021_MIZ825_168";18;"ALB";2021;8;25;390;18.762;41.4564166666667;1;0.104364;"ADV";5;0.04
"18ALB2021_MIZ826_14";18;"ALB";2021;8;26;113.5;19.10625;41.40625;0.5;0.0492528;"ADV";0;0
"18ALB2021_MIZ826_165";18;"ALB";2021;8;26;125.5;18.9436666666667;41.1119166666667;0.5;0.0502944;"ADV";1;0.12
"18ALB2021_MIZ826_166";18;"ALB";2021;8;26;114.5;18.9719166666667;41.3175;0.5;0.0488994;"ADV";0;0
"18ALB2021_MIZ826_170";18;"ALB";2021;8;26;612;18.7476666666667;41.0688333333333;1;0.0983268;"ADV";1;0.015
"18ALB2021_MIZ826_26";18;"ALB";2021;8;26;296;18.8633333333333;41.11;1;0.108693;"ADV";0;0
"18ALB2021_MIZ826_32";18;"ALB";2021;8;26;585;18.7805833333333;40.96525;1;0.1001031;"ADV";0;0
"18ALB2021_MIZ831_167";18;"ALB";2021;8;31;346.5;18.8749166666667;40.897;1;0.1065285;"ADV";4;0.08
"18ALB2021_MIZ831_27";18;"ALB";2021;8;31;328;18.99875;40.7326666666667;1;0.1050855;"ADV";0;0
"18ALB2021_MIZ831_33";18;"ALB";2021;8;31;556;18.8191666666667;40.9051666666667;1;0.1029299;"ADV";2;0.05
"18ALB2021_MIZ831_38";18;"ALB";2021;8;31;578.5;18.9015;40.7896666666667;1;0.100466;"ADV";1;0.04
"18ALB2021_MIZ831_39";18;"ALB";2021;8;31;519;18.9886666666667;40.689;1;0.1008098;"ADV";4;0.9
"18ALB2023_MIZ724_1";18;"ALB";2023;7;24;19.5;19.39725;41.557;0.5;0.0452814;"ADV";4;0.18
